initial_r_1,initial_r_2,r_1,r_2,ED_1,ED_2,initial_a_1,initial_a_2,initial_a_3,initial_a_4,a_1,a_2,a_3,a_4,EA_1,EA_2,EA_3,EA_4,ED_vec_max,EA_vec_max,Algo,Converged,Iterations
0.01,0.01,3.013534075447628,2.3534942950594462e-46,-0.19427985016654148,-2.421427573247895,3.0,3.0,0.75,0.75,26.953516112751586,12.945930446641343,6.729304861273093,7.789909111195561e-8,0.01207717095218186,-0.03630937395147349,0.012093459652849248,3.437050051681671,2.421427573247895,3.437050051681671,LBFGS,1.0,3.0
0.01,0.01,3.013534075447628,2.3534942950594462e-46,-0.19427985016654148,-2.421427573247895,3.0,3.0,0.75,0.75,26.953516112751586,12.945930446641343,6.729304861273093,7.789909111195561e-8,0.01207717095218186,-0.03630937395147349,0.012093459652849248,3.437050051681671,2.421427573247895,3.437050051681671,NM,1.0,347.0
0.01,0.01,2.907044630113824,2.996051898027708,7.460698725481052e-14,-1.0658141036401503e-14,3.0,3.0,0.75,0.6,12.888848537435797,22.044730252586483,3.650395479676996,5.517693470905806,-1.687538997430238e-13,1.3855583347321954e-13,-5.759837051755312e-13,4.3520742565306136e-14,7.460698725481052e-14,5.759837051755312e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138153,2.996051898027709,-1.3145040611561853e-13,-1.7053025658242404e-13,3.0,3.0,0.6,3.0,12.888848537435482,22.044730252586582,3.650395479676317,5.517693470905879,-5.3290705182007514e-14,2.6645352591003757e-13,9.370282327836321e-14,2.5757174171303632e-14,1.7053025658242404e-13,2.6645352591003757e-13,LBFGS,1.0,1.0
0.01,0.01,2.9070446301138095,2.996051898027709,-1.2434497875801753e-13,-2.4868995751603507e-14,3.0,3.0,0.6,1.5,12.888848537435024,22.0447302525871,3.6503954796762867,5.5176934709059475,2.398081733190338e-13,-6.394884621840902e-14,1.1457501614131615e-13,4.440892098500626e-15,1.2434497875801753e-13,2.398081733190338e-13,LBFGS,1.0,2.0
0.01,0.01,2.907044630113814,2.9960518980277095,-4.547473508864641e-13,-3.552713678800501e-14,3.0,3.0,0.6,1.0,12.888848537435482,22.04473025258751,3.6503954796760025,5.517693470906141,-2.859934511434403e-13,-4.192202140984591e-13,3.5127456499139953e-13,-1.7674750552032492e-13,4.547473508864641e-13,4.192202140984591e-13,LBFGS,1.0,2.0
0.01,0.01,3.013534102188722,2.688635652867426e-12,-0.19427988637793092,-2.4214276019419065,3.0,3.0,0.6,0.75,26.953515870860173,12.945930404467266,6.729304797898322,7.789908214274219e-8,0.012077172955191173,-0.03630938256947758,0.012093463055519393,3.437050029320173,2.4214276019419065,3.437050029320173,LBFGS,1.0,2.0
0.01,0.01,3.0135340784900833,1.4899285217887174e-17,-0.19427982992272774,-2.4214276044985423,3.0,3.0,0.6,0.75,26.953516110822097,12.945930375219561,6.729304864563648,7.789908756422032e-8,0.012077174693082782,-0.0363093702319528,0.01209345681514673,3.437050030845774,2.4214276044985423,3.437050030845774,NM,1.0,328.0
0.01,0.01,3.013534058208895,6.221444751568439e-144,-0.19427981476394862,-2.4214275686930273,3.0,3.0,0.6,0.6,26.95351628500488,12.94593044845498,6.729304905501726,7.789909548954074e-8,0.012077167749012574,-0.036309373580802884,0.0120934576867473,3.4370500569138365,2.4214275686930273,3.4370500569138365,LBFGS,1.0,2.0
0.01,0.01,3.0135340721596866,1.684955143368113e-156,-0.19427984373920992,-2.4214275718178664,3.0,3.0,0.6,0.6,26.953516153006316,12.94593045451553,6.729304869012933,7.789909193599121e-8,0.012077162552120768,-0.03630938006282669,0.012093459876676427,3.4370500530166104,2.4214275718178664,3.4370500530166104,NM,0.0,7.0e6
